DomainId	DomainName	CenterPosX	CenterPosY	FightMapId	MapType
1	龙门镇	222	128	31	city
2	昆仑派	193	189	12	faction
3	西夏一品堂	305	143	13	faction
4	凤翔府	251	167	24	city
5	大散关	262	223	87	fight
6	居延泽	264	96	94	faction
7	沙漠迷宫	307	105	101	faction
8	嘉峪关	178	60	115	faction
9	敦煌古城	189	103	123	faction
10	月牙泉	149	120	131	faction
11	永乐镇	385	232	32	village
12	武当派	358	252	14	faction
13	襄阳府	421	275	25	city
14	汉水古渡	464	306	88	fight
15	伏牛山	478	236	95	fight
16	黄鹤楼	506	311	109	fight
17	华山	335	186	116	fight
18	阿房宫废墟	314	217	132	fight
19	江津村	279	313	34	village
20	峨嵋派	221	339	16	faction
21	成都府	241	289	27	city
22	浣花溪	205	265	90	fight
23	剑阁蜀道	273	274	104	fight
24	剑门关	315	276	111	fight
25	丰都鬼城	331	340	118	fight
26	三峡栈道	362	313	126	fight
27	神女峰	407	331	134	fight
28	云中镇	450	100	30	village
29	少林派	438	196	9	faction
30	天忍教	523	91	10	faction
31	萨满教	371	94	11	faction
32	汴京府	488	156	23	city
33	太行古径	420	141	86	fight
34	风陵渡	382	153	100	fight
35	龙门石窟	390	195	107	fight
36	敕勒川	408	67	114	faction
37	漠北草原	388	39	122	faction
38	蒙古王庭	331	37	130	faction
39	稻香村	527	255	33	village
40	丐帮	546	288	15	faction
41	扬州府	585	263	26	city
42	寒山古刹	626	268	89	fight
43	虎丘剑池	601	301	96	fight
44	蜀冈山	570	215	103	fight
45	蜀冈秘境	527	196	117	fight
46	大禹台	542	154	125	fight
47	梁山泊	592	153	133	fight
48	龙泉村	598	371	36	village
49	五毒教	531	397	20	faction
50	明教	497	379	224	faction
51	长歌门	619	414	21	faction
52	临安府	636	327	29	city
53	采石矶	563	326	92	fight
54	彭蠡古泽	517	349	99	fight
55	九嶷溪	554	361	106	fight
56	武夷山	569	413	120	fight
57	锁云渊	504	443	128	fight
58	鼓浪屿	595	451	136	fight
59	巴陵县	443	350	37	village
60	天王帮	460	393	22	faction
61	武陵山	382	373	121	fight
62	桃花源	408	413	137	fight
63	石鼓镇	253	467	35	city
64	翠烟门	186	496	17	faction
65	唐门	250	391	18	faction
66	大理段氏	175	456	19	faction
67	大理府	167	413	28	city
68	洱海摩岩	176	372	91	faction
69	点苍山	119	433	98	faction
70	天龙寺	113	383	112	faction
71	苗岭	327	456	119	faction
72	夜郎旧墟	315	407	135	faction
