Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ExtParam11	ExtParam12	ExtParam13	ExtParam14	ExtParam15	ExtParam16	ExtParam17	ExtParam18	ExtParam19	ExtParam20	Effect
小块玄晶碎片（1级玄晶）	玄晶（1级）	18	1	1	1	\image\item\other\scriptitem\xuanjing_001_s.spr		1	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	100		0	0		xuanjing			1																						
玄晶碎片（2级玄晶）	玄晶（2级）	18	1	1	2	\image\item\other\scriptitem\xuanjing_001_s.spr		1	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	360		0	0		xuanjing			1																						
小块玄晶残片（3级玄晶）	玄晶（3级）	18	1	1	3	\image\item\other\scriptitem\xuanjing_002_s.spr		2	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	1296		0	0		xuanjing			1																						
玄晶残片（4级玄晶）	玄晶（4级）	18	1	1	4	\image\item\other\scriptitem\xuanjing_002a_s.spr		2	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	4665		0	0		xuanjing			1																						
未雕琢的玄晶（5级玄晶）	玄晶（5级）	18	1	1	5	\image\item\other\scriptitem\xuanjing_003_s.spr		3	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	16796		0	1		xuanjing			1																						
有裂痕的玄晶（6级玄晶）	玄晶（6级）	18	1	1	6	\image\item\other\scriptitem\xuanjing_004_s.spr		4	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	60466		0	1		xuanjing			1																						
普通的玄晶（7级玄晶）	玄晶（7级）	18	1	1	7	\image\item\other\scriptitem\xuanjing_005_s.spr		5	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	217678		0	1		xuanjing			1																						
有瑕疵的玄晶（8级玄晶）	玄晶（8级）	18	1	1	8	\image\item\other\scriptitem\xuanjing_006_s.spr		6	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	783641		0	1		xuanjing			1																						
无瑕的玄晶（9级玄晶）	玄晶（9级）	18	1	1	9	\image\item\other\scriptitem\xuanjing_007_s.spr		7	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	2821109		0	1		xuanjing			1																						
完美的玄晶（10级玄晶）	玄晶（10级）	18	1	1	10	\image\item\other\scriptitem\xuanjing_008_s.spr		8	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	10155995		0	1		xuanjing			1																						
璀璨的完美玄晶（11级玄晶）	玄晶（11级）	18	1	1	11	\image\item\other\scriptitem\xuanjing_009_s.spr		8	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	36565762		0	1		xuanjing			1																						
天赐的完美玄晶（12级玄晶）	玄晶（12级）	18	1	1	12	\image\item\other\scriptitem\xuanjing_010_s.spr		8	价值不菲的晶石，可以用来在<color=gold>冶炼大师<color>处强化装备。		0	1	1	131636744		0	1		xuanjing			1																						
金犀（1级）	金犀（1级）	18	1	2	1	\image\item\other\scriptitem\jinxi_s.spr		35	具有神力的奇石，可以修复装备的最大耐久。<color=gold>右键点击使用或Alt+左键全修。<color>		0	1	1	600		0	0		jinxi			1		100																				
金犀（2级）	金犀（2级）	18	1	2	2	\image\item\other\scriptitem\jinxi_s.spr		35	具有神力的奇石，可以修复装备的最大耐久。<color=gold>右键点击使用或Alt+左键全修。<color>		0	1	1	6000		0	0		jinxi			1		1000																				
金犀（3级）	金犀（3级）	18	1	2	3	\image\item\other\scriptitem\jinxi_s.spr		35	具有神力的奇石，可以修复装备的最大耐久。<color=gold>右键点击使用或Alt+左键全修。<color>		0	1	1	60000		0	1		jinxi			1		10000																				
金犀（4级）	金犀（4级）	18	1	2	4	\image\item\other\scriptitem\jinxi_s.spr		35	具有神力的奇石，可以修复装备的最大耐久。<color=gold>右键点击使用或Alt+左键全修。<color>		0	1	1	600000		0	1		jinxi			1		100000																				
金犀（5级）	金犀（5级）	18	1	2	5	\image\item\other\scriptitem\jinxi_s.spr		35	具有神力的奇石，可以修复装备的最大耐久。<color=gold>右键点击使用或Alt+左键全修。<color>		0	1	1	6000000		0	0		jinxi			1																						
传送符（新手村）	传送符（新手村）	18	1	3	1	\image\item\other\scriptitem\huichengfu_s.spr		32	神奇的符纸，可以将人传送到任意新手村。<color=gold>右键点击使用。<color>		0	300	1	1		0	0		chuansongfu	chuansong		1																						
传送符（城市）	传送符（城市）	18	1	4	1	\image\item\other\scriptitem\huichengfu_s.spr		32	神奇的符纸，可以将人传送到任意城市。<color=gold>右键点击使用。<color>		0	500	1	1		0	0		chuansongfu	chuansong		1																						
高级任务卷轴	高级任务卷轴	18	1	5	1	\image\item\other\scriptitem\scrolltask_s.spr		34	一个记载了各种各样任务的卷轴。		0	10000	1	1		0	0		advanced_scroll			1																						
普通任务卷轴	普通任务卷轴	18	1	6	1	\image\item\other\scriptitem\randomtask_s.spr		34	一个记载了各种各样任务的卷轴。		0	10000	1	1		1	0		random_scroll			1																						
回城符	回城符	18	1	7	1	\image\item\other\scriptitem\huichengfu_s.spr		32	神奇的符纸，可以将人瞬间传送到存点的城镇。<color=gold>右键点击使用。<color>		0	300	1	1		0	0		huichengfu	chuansong		1																						
观天卷	观天卷	18	1	8	1	\image\item\other\scriptitem\songjinzhaoshu_s.spr		32	古人观看天上星斗后的记录。		0	100	1	1		0	0					1																						
藏宝图	藏宝图	18	1	9	1	\image\item\other\scriptitem\treasure_map_s.spr		34	一张标识了宝藏地点的残图。		0	100	1	1		1	0		treasuremap			1																						
