Map ID	MusicFile1	Volume1	StartTime1	EndTime1	CycleRandom1	MusicFile2	Volume2	StartTime2	EndTime2	CycleRandom2	MusicFile3	Volume3	StartTime3	EndTime3	CycleRandom3	MusicFile4	Volume4	StartTime4	EndTime4	CycleRandom4
1	\audio\map\m1004.mp3	110	0	155519																
2	\audio\map\m1001.mp3	100	0	155519																
3	\audio\map\m5004.mp3	100	0	155519																
4	\audio\map\m1005.mp3	100	0	155519																
5	\audio\map\m1003.mp3	100	0	155519																
6	\audio\map\m1008.mp3	100	0	155519																
7	\audio\map\m1006.mp3	100	0	155519																
8	\audio\map\m1007.mp3	100	0	155519																
9	\audio\map\m2001.mp3	100	0	155519																
10	\audio\map\m2003.mp3	90	0	155519																
11	\audio\map\m2011.mp3	100	0	155519																
12	\audio\map\m2004.mp3	100	0	155519																
13	\audio\map\m2014.mp3	100	0	155519																
14	\audio\map\m2002.mp3	100	0	155519																
15	\audio\map\m2006.mp3	100	0	155519																
16	\audio\map\m2008.mp3	100	0	155519																
17	\audio\map\m2010.mp3	100	0	155519																
18	\audio\map\m2009.mp3	100	0	155519																
19	\audio\map\m2013.mp3	100	0	155519																
20	\audio\map\m2007.mp3	100	0	155519																
21	\audio\map\m2012.mp3	100	0	155519																
22	\audio\map\m2005.mp3	100	0	155519																
23	\audio\map\m3006.mp3	100	0	155519																
24	\audio\map\m3007.mp3	100	0	155519																
25	\audio\map\m3003.mp3	100	0	155519																
26	\audio\map\m3005.mp3	100	0	155519																
27	\audio\map\m3002.mp3	100	0	155519																
28	\audio\map\m3001.mp3	105	0	155519																
29	\audio\map\m3004.mp3	100	0	155519																
30	\audio\map\m1004.mp3	100	0	155519																
31	\audio\map\blank.mp3	100	0	155519																
32	\audio\map\blank.mp3	100	0	155519																
33	\audio\map\blank.mp3	100	0	155519																
34	\audio\map\m1003.mp3	100	0	155519																
35	\audio\map\blank.mp3	100	0	155519																
36	\audio\map\blank.mp3	100	0	155519																
37	\audio\map\m1007.mp3	100	0	155519																
38	\audio\map\m1004.mp3	100	0	155519																
39	\audio\map\blank.mp3	100	0	155519																
40	\audio\map\blank.mp3	100	0	155519																
41	\audio\map\blank.mp3	100	0	155519																
42	\audio\map\m1003.mp3	100	0	155519																
43	\audio\map\blank.mp3	100	0	155519																
44	\audio\map\blank.mp3	100	0	155519																
45	\audio\map\m1007.mp3	100	0	155519																
46	\audio\map\m4002.mp3	100	0	155519																
47	\audio\map\m2003.mp3	100	0	155519																
48	\audio\map\m2004.mp3	100	0	155519																
49	\audio\map\m2002.mp3	100	0	155519																
50	\audio\map\m4003.mp3	100	0	155519																
51	\audio\map\m2008.mp3	100	0	155519																
