WareId	WareName	WareType	nGenre	nDetailType	nParticular	nLevel	nSeries	nCurrencyType	nUseType	nOrgPrice	nWareUseStyle	nDiscount	nRecommend	timeSaleStart	timeSaleClose	DiscountStart	DiscountClose	dwTimeout	nTimeFrameStartSale	nTimeFrameEndSale	Consumed	nHonor	nBind
1	白驹丸	101	18	1	71	1	1	0		36								43200			100		
2	大白驹丸	101	18	1	71	2	1	0		180								43200			100		
3	强效白驹丸	101	18	1	71	3	1	0		540								43200			100		
4	金条(大)	102	18	1	118	2	1	0		10000								43200			0		
5	小块玄晶碎片（1级玄晶）	107	18	1	1	1	1	0		1								43200			0		
6	小块玄晶残片（3级玄晶）	107	18	1	1	3	1	0		15								43200			0		
7	未雕琢的玄晶（5级玄晶）	107	18	1	1	5	1	0		175								43200			0		
8	普通的玄晶（7级玄晶）	107	18	1	1	7	1	0		2240								43200			0		
9	金条	102	18	1	118	1	1	0		1000								43200			0		
10	酒箱（5瓶）	101	18	1	189	1	1	0		30								43200			0		
11	酒箱（50瓶）	101	18	1	189	2	1	0		300								43200			0		
12	无限传送符（1周）	102	18	1	195	1	1	0	1	400								10080			0		
13	无限传送符（1月）	102	18	1	235	1	1	0	1	1500								43200			0		
18	无限回城符（1周）	102	18	1	23	1	1	0	1	200								10080			0		
19	无限回城符（1月）	102	18	1	234	1	1	0	1	750								43200			0		
22	乾坤符（10次）	102	18	1	85	1	1	0		200								43200			0		
24	家族召唤令牌	102	18	1	87	1	1	0		1000								43200			0		
25	摆摊许可证	102	18	1	116	1	1	0		8								43200			100		
26	九转续命丸	106	18	1	24	1	1	0		50								43200			100		
27	刑部令牌	103	18	1	17	1	1	0		200								43200			100		
28	慈悲心经	103	18	1	18	1	1	0		200								43200			100		
29	空白的心得书（初级）	101	20	1	463	1	1	0		20								43200			100		
30	空白的心得书（中级）	101	20	1	464	1	1	0		60								43200			100		
31	空白的心得书（高级）	101	20	1	465	1	1	0		180								43200			100		
32	金犀（4级）	103	18	1	2	4	1	0		6000								43200			0		
33	金犀（3级）	103	18	1	2	3	1	0		600								43200			0		
35	洗髓岛令牌	103	18	1	79	1	1	0		200								43200			100		
36	马牌（大宛马）	106	1	12	15	2	1	0	1	120								43200			0		
37	马牌（乌骓）	106	1	12	16	2	1	0	1	120								43200			0		
38	移民许可资格	102	18	1	117	1	1	0		200								43200			0		
40	精气散（回500）	103	18	1	89	1	1	0		40								43200			0		
41	精气散（回1000）	103	18	1	89	2	1	0		120								43200			0		
42	精气散（回1500）	103	18	1	89	3	1	0		215								43200			0		
43	活气散（回500）	103	18	1	90	1	1	0		40								43200			0		
44	活气散（回1000）	103	18	1	90	2	1	0		120								43200			0		
45	活气散（回1500）	103	18	1	90	3	1	0		215								43200			0		
46	天眼符	102	18	1	206	1	1	0		500								43200			0		
47	福利精气包（回500）	103	18	1	207	1	1	0		80								43200			0		
48	福利活气包（回500）	103	18	1	208	1	1	0		80								43200			0		
49	初级祈福令牌	108	18	1	212	1	1	0		1880								43200			100		
50	中级祈福令牌	108	18	1	212	2	1	0		14880								43200			100		
51	无瑕的玄晶（9级玄晶）	107	18	1	1	9	1	0		28800								43200			0		
52	特效白驹丸	101	18	1	71	4	1	0		1480								43200			100		
53	九转续命丸（自动使用）	106	18	1	218	1	1	0		50	2							43200			100		
54	神秘缰绳	106	18	1	237	1	0	0	1	3000								43200		100000	100		
55	武林秘籍（中级）	106	18	1	191	2	0	0		4500								43200	67	100000	100		
56	洗髓经（中级）	106	18	1	192	2	0	0		4500								43200	67	100000	100		
57	义军令牌	108	18	1	84	1	0	0		8								43200			100		
58	门派竞技高级令牌	108	18	1	81	3	0	0		300								43200			100		
59	白虎堂高级令牌	108	18	1	111	3	0	0		100								43200			100		
60	家族令牌（高级）	108	18	1	110	3	0	0		200								43200			100		
61	战场令牌（扬州）	108	18	1	112	1	0	0		20								43200			100		
62	战场令牌（凤翔）	108	18	1	112	2	0	0		20								43200			100		
63	高级勾魂玉	103	18	1	146	3	0	0		12000								43200	81	100000	10		
64	江湖威望令牌	108	18	1	236	1	0	0		1000								43200			100		
65	易马符	106	18	1	238	1	0	0		288				2008-11-4 0:00	2008-12-4 0:00	2008-11-4 0:00	2008-12-4 0:00	43200			100		
66	魂石箱（100个）	107	18	1	244	1	0	0		800								43200			0		
67	魂石箱（1000个）	107	18	1	244	2	0	0		8000								43200			0		
68	秘境地图	101	18	1	251	1	0	0		1200								43200			16		
69	20周年庆典包	102	18	1	256	1	0	0		500				2008-12-9 0:00	2008-12-16 0:00	2008-12-9 0:00	2008-12-16 0:00	43200			100		
70	高级祈福令牌	108	18	1	212	3	1	0		58800								43200			100		
71	圣诞礼盒	102	18	1	270	1	1	0		288				2009-12-22 0:00	2010-1-5 0:00			43200			0		
72	圣诞糖果	102	18	1	271	1	1	0		99				2010-1-5 0:00	2010-2-5 0:00			43200			0		
73	帮会银锭（小）	102	18	1	284	1	1	0		1000								43200			100		
74	帮会银锭（大）	102	18	1	284	2	1	0		10000								43200			100		
75	帮会奖金令牌	102	18	1	340	1	0	0		5000								43200			100		
76	玫瑰花	103	18	1	373	1	0	0		100				2012-3-5 0:00	2012-3-31 0:00			43200			100		
77	夜明珠·箱	107	18	1	382	1	0	0		12000								43200	200	100000	0		
78	玫瑰花篮	103	18	1	383	1	0	0		9900				2012-3-5 0:00	2012-3-31 0:00			43200			0		
79	万物归元丹	106	18	1	384	1	0	0		7200								43200			100		
80	灵芝续命丸·箱	106	18	1	241	1	0	0		600								43200			0		
81	雪参返气丸·箱	106	18	1	242	1	0	0		600								43200			0		
82	瑶池大还丹·箱	106	18	1	243	1	0	0		600								43200			0		
