MapId	MapName	Xpos1	Ypos1	Xpos2	Ypos2
地图ID	地图名	X坐标1	Y坐标1	X坐标2	Y坐标2
1	云中镇	598	135	0	0
2	龙门镇	198	166	0	0
3	永乐镇	458	373	0	0
4	稻香村	771	374	0	0
5	江津村	342	502	0	0
6	石鼓镇	234	698	0	0
7	龙泉村	818	568	0	0
8	巴陵县	578	558	0	0
9	少林派	578	336	0	0
10	天忍教	761	127	0	0
11	萨满教	489	81	0	0
12	昆仑派	125	285	0	0
13	西夏一品堂	338	224	0	0
14	武当派	473	430	0	0
15	丐帮	815	434	0	0
16	峨嵋派	223	509	0	0
17	翠烟门	164	734	0	0
18	唐门	244	572	0	0
19	大理段氏	86	600	0	0
20	五毒教	732	636	0	0
21	长歌门	880	621	0	0
22	天王帮	600	607	0	0
23	汴京府	658	253	0	0
24	凤翔府	260	266	0	0
25	襄阳府	546	439	0	0
26	扬州府	855	370	0	0
27	成都府	236	460	0	0
28	大理府	104	635	0	0
29	临安府	878	478	0	0
30	古战场	632	72	0	0
31	龙门客栈	177	175	0	0
32	军马场	480	334	0	0
33	梅花岭	702	345	0	0
34	长江河谷	378	535	0	0
35	白族市集	212	643	0	0
36	雁荡龙湫	912	519	0	0
37	洞庭湖畔	652	580	0	0
38	镇东墓园	666	119	0	0
39	祁连山	146	204	0	0
40	潼关	443	318	0	0
41	淮水沙洲	713	396	0	0
42	蜀南竹海	306	543	0	0
43	茶马古道	166	623	0	0
44	铸剑坊	890	571	0	0
45	岳阳楼	643	535	0	0
46	后山禁地	544	322	0	0
47	天忍教禁地	782	80	0	0
48	见性峰	69	262	0	0
49	天柱峰	431	409	0	0
50	姑苏水榭	787	444	0	0
51	九老峰	213	536	0	0
52	百花谷	115	722	0	0
53	翡翠湖	220	592	0	0
54	南夷部落	698	671	0	0
55	青螺岛	554	611	0	0
56	塔林东部	535	350	0	0
57	金国皇陵一层	814	38	0	0
58	冰穴迷宫一层	54	289	0	0
59	龙虎幻境东部	388	385	0	0
60	燕子坞外围	770	454	0	0
61	九老洞一层	173	533	0	0
62	百花阵外阵	60	732	0	0
63	湖畔竹林东部	226	607	0	0
64	原始森林东部	652	704	0	0
65	芦苇荡东南部	532	598	0	0
66	塔林西部	535	350	0	0
67	金国皇陵二层	814	38	0	0
68	冰穴迷宫二层	54	289	0	0
69	龙虎幻境西部	388	385	0	0
70	燕子坞中段	770	454	0	0
71	九老洞二层	173	533	0	0
72	百花阵内阵	60	732	0	0
73	湖畔竹林西部	226	607	0	0
74	原始森林西部	652	704	0	0
75	芦苇荡西北部	532	598	0	0
76	塔林中部	535	350	0	0
77	金国皇陵三层	814	38	0	0
78	冰穴迷宫三层	54	289	0	0
79	龙虎幻境中部	388	385	0	0
80	燕子坞内部	770	454	0	0
81	九老洞三层	173	533	0	0
82	百花阵阵眼	60	732	0	0
83	湖畔竹林中部	226	607	0	0
84	原始森林中部	652	704	0	0
85	芦苇荡中部	532	598	0	0
86	太行古径	573	217	0	0
87	大散关	267	338	0	0
88	汉水古渡	590	453	0	0
89	寒山古刹	888	401	0	0
90	浣花溪	172	478	0	0
91	洱海摩岩	115	577	0	0
92	采石矶	765	472	0	0
93	药王洞	491	180	0	0
94	居延泽	291	122	0	0
95	伏牛山	621	365	0	0
96	虎丘剑池	883	446	0	0
97	响水洞	209	426	0	0
98	点苍山	44	656	0	0
99	彭蠡古泽	722	511	0	0
100	风陵渡	521	256	0	0
101	沙漠迷宫	339	107	0	0
102	鸡冠洞	573	369	0	0
103	蜀冈山	835	346	0	0
104	剑阁蜀道	299	436	0	0
105	段氏皇陵	103	687	0	0
106	九嶷溪	768	530	0	0
107	龙门石窟	528	302	0	0
108	西夏皇陵	347	149	0	0
109	黄鹤楼	659	488	0	0
110	荐菊洞	811	311	0	0
111	剑门关	362	424	0	0
112	天龙寺	32	576	0	0
113	帮源秘洞	732	571	0	0
114	敕勒川	552	76	0	0
115	嘉峪关	126	90	0	0
116	华山	402	295	0	0
117	蜀岗秘境	724	302	0	0
118	丰都鬼城	427	520	0	0
119	苗岭	357	694	0	0
120	武夷山	800	628	0	0
121	武陵山	500	570	0	0
122	漠北草原	533	41	0	0
123	敦煌古城	77	127	0	0
124	活死人墓	362	270	0	0
125	大禹台	758	260	0	0
126	三峡栈道	496	470	0	0
127	蚩尤洞	445	728	0	0
128	锁云渊	679	729	0	0
129	伏流洞	457	603	0	0
130	蒙古王庭	400	47	0	0
131	月牙泉	47	159	0	0
132	阿房宫废墟	343	332	0	0
133	梁山泊	842	228	0	0
134	神女峰	543	505	0	0
135	夜郎旧墟	331	632	0	0
136	鼓浪屿	836	720	0	0
137	桃花源	469	654	0	0
