ZoneType	ZoneTypeName	ZoneName	ServerName	GatewayId	MainServer	GlobalArea
1	电信	电信青龙区	云中镇	gate0101	1	2
1	电信	电信青龙区	巴陵县	gate0101	0	2
1	电信	电信青龙区	龙门镇	gate0102	1	1
1	电信	电信青龙区	稻香村	gate0102	0	1
1	电信	电信青龙区	永乐镇	gate0103	1	1
1	电信	电信青龙区	江津村	gate0103	0	1
1	电信	电信青龙区	龙泉村	gate0107	1	1
1	电信	电信青龙区	燕子坞	gate0107	0	1
1	电信	电信青龙区	铸剑坊	gate0107	0	1
1	电信	电信青龙区	翡翠湖	gate0107	0	1
1	电信	电信青龙区	九老峰	gate0110	1	3
1	电信	电信青龙区	石鼓镇	gate0110	0	3
1	电信	电信青龙区	青螺岛	gate0112	1	2
1	电信	电信青龙区	点苍山	gate0112	0	2
1	电信	电信青龙区	居延泽	gate0112	0	2
1	电信	电信青龙区	响水洞	gate0112	0	2
1	电信	电信青龙区	风陵渡	gate0118	1	3
1	电信	电信青龙区	浣花溪	gate0118	0	3
2	网通	网通白虎区	长江河谷	gate0201	1	6
2	网通	网通白虎区	洞庭湖畔	gate0201	0	6
2	网通	网通白虎区	淮水沙洲	gate0201	0	6
2	网通	网通白虎区	雁荡龙湫	gate0202	1	6
2	网通	网通白虎区	龙虎幻境	gate0202	0	6
2	网通	网通白虎区	龙门客栈	gate0202	0	6
2	网通	网通白虎区	太行古径	gate0202	0	6
2	网通	网通白虎区	湖畔竹林	gate0210	1	6
2	网通	网通白虎区	茶马古道	gate0210	0	6
2	网通	网通白虎区	姑苏水榭	gate0210	0	6
2	网通	网通白虎区	松涛别院	gate0210	0	6
2	网通	网通白虎区	暮雪山庄	gate0213	1	6
2	网通	网通白虎区	藏剑山庄	gate0213	0	6
2	网通	网通白虎区	风池山庄	gate0213	0	6
2	网通	网通白虎区	怡情山庄	gate0213	0	6
1	电信	电信朱雀区	剑门关	gate0301	1	3
1	电信	电信朱雀区	大禹台	gate0301	0	3
1	电信	电信朱雀区	伏牛山	gate0301	0	3
1	电信	电信朱雀区	武夷山	gate0302	1	2
1	电信	电信朱雀区	锁云渊	gate0302	0	2
1	电信	电信朱雀区	武陵山	gate0302	0	2
1	电信	电信朱雀区	月牙泉	gate0302	0	2
1	电信	电信朱雀区	岳阳楼	gate0307	1	2
1	电信	电信朱雀区	寒波谷	gate0307	0	2
1	电信	电信朱雀区	黄鹤楼	gate0307	0	2
1	电信	电信朱雀区	落叶谷	gate0307	0	2
1	电信	电信朱雀区	南岳镇	gate0307	0	2
1	电信	电信朱雀区	雁鸣湖	gate0307	0	2
1	电信	电信朱雀区	药王谷	gate0307	0	2
1	电信	电信朱雀区	采石矶	gate0308	1	2
1	电信	电信朱雀区	梁山泊	gate0308	0	2
1	电信	电信朱雀区	桃花岛	gate0308	0	2
1	电信	电信朱雀区	桃花源	gate0308	0	2
1	电信	电信朱雀区	无忧岛	gate0308	0	2
1	电信	电信朱雀区	樱花谷	gate0308	0	2
1	电信	电信朱雀区	朱仙镇	gate0308	0	2
1	电信	电信金麟区	侠客岛	gate0322	0	3
1	电信	电信金麟区	浣溪沙	gate0322	0	3
1	电信	电信朱雀区	情久长	gate0322	1	3
1	电信	电信朱雀区	连城诀	gate0322	0	3
1	电信	电信金麟区	雪芳草	gate0324	0	4
1	电信	电信朱雀区	应天府	gate0324	1	4
1	电信	电信北斗区	碧落谷	gate0325	0	4
1	电信	电信朱雀区	梦行云	gate0325	1	4
1	电信	电信朱雀区	西风烈	gate0326	1	5
1	电信	电信玄武区	二龙山	gate0403	1	1
1	电信	电信玄武区	藏云轩	gate0403	0	1
1	电信	电信玄武区	甘露谷	gate0403	0	1
1	电信	电信玄武区	灵宝山	gate0403	0	1
1	电信	电信玄武区	千琼宫	gate0403	0	1
1	电信	电信玄武区	云梦泽	gate0403	0	1
1	电信	电信玄武区	摘星坪	gate0403	0	1
1	电信	电信玄武区	凌绝峰	gate0405	1	1
