HUGE_ID	MID_ID	SMALL_ID	LADDER_NAME	LADDER_UNIT	SEARCHMOD	ISABLE
1	0	0	武林大会		0	0
1	1	0	门派单人赛	%d分	0	1
1	1	1	门派单人赛分榜	%d分	0	1
1	1	2	门派单人赛分榜	%d分	0	1
1	1	3	门派单人赛分榜	%d分	0	1
1	1	4	门派单人赛分榜	%d分	0	1
1	1	5	门派单人赛分榜	%d分	0	1
1	1	6	门派单人赛分榜	%d分	0	1
1	1	7	门派单人赛分榜	%d分	0	1
1	1	8	门派单人赛分榜	%d分	0	1
1	1	9	门派单人赛分榜	%d分	0	1
1	1	10	门派单人赛分榜	%d分	0	1
1	1	11	门派单人赛分榜	%d分	0	1
1	1	12	门派单人赛分榜	%d分	0	1
1	1	13	门派单人赛分榜	%d分	0	1
1	2	0	双人赛	%d分	0	1
1	3	0	三人赛	%d分	0	1
1	4	0	五行五人赛	%d分	0	1
1	5	0	大型团体赛	%d分	0	1
2	0	0	其他排行榜		0	1
2	1	0	修炼排行	%d级	0	1
2	1	1	少林修炼榜	%d级	0	1
2	1	2	天王修炼榜	%d级	0	1
2	1	3	唐门修炼榜	%d级	0	1
2	1	4	五毒修炼榜	%d级	0	1
2	1	5	峨嵋修炼榜	%d级	0	1
2	1	6	翠烟修炼榜	%d级	0	1
2	1	7	丐帮修炼榜	%d级	0	1
2	1	8	天忍修炼榜	%d级	0	1
2	1	9	武当修炼榜	%d级	0	1
2	1	10	昆仑修炼榜	%d级	0	1
2	1	11	明教修炼榜	%d级	0	1
2	1	12	段氏修炼榜	%d级	0	1
2	1	13	段氏修炼榜	%d级	0	1
2	2	0	活动排行		0	1
2	2	1	飞絮崖荣誉榜	%d张	1	0
2	2	2	逍遥谷榜	%d张	1	1
2	2	3	龙舟赛荣誉榜	%d荣誉值	1	0
2	2	4	江湖威望榜	%d荣誉值	1	1
2	2	5	美女大选榜	%d票	1	1
2	2	6	霸主之印榜	%d个	1	1
2	2	7	占位榜[没有用到]	%d票	1	0
2	2	8	武林群芳谱	%d分	1	1
2	2	9	寒武遗迹勇士榜	%d分	1	1
2	2	10	夜岚关荣誉榜	%d分	1	1
2	2	11	赤夜飞翎收集榜	%d个	1	1
2	3	0	趣味竞技榜		0	1
2	3	1	本月竞技榜	%d分	1	1
2	3	2	上月竞技榜	%d分	0	1
2	4	0	家族排行榜	%d荣誉值	1	1
3	0	0	联赛		0	1
3	1	0	初级联赛		1	1
3	1	1	初级联赛分榜	%d分	1	1
3	1	2	初级联赛分榜	%d分	1	1
3	1	3	初级联赛分榜	%d分	1	1
3	1	4	初级联赛分榜	%d分	1	1
3	1	5	初级联赛分榜	%d分	1	1
3	1	6	初级联赛分榜	%d分	1	1
3	1	7	初级联赛分榜	%d分	1	1
3	1	8	初级联赛分榜	%d分	1	1
3	1	9	初级联赛分榜	%d分	1	1
3	1	10	初级联赛分榜	%d分	1	1
3	1	11	初级联赛分榜	%d分	1	1
3	1	12	初级联赛分榜	%d分	1	1
3	1	13	初级联赛分榜	%d分	1	1
3	2	0	高级联赛		1	1
3	2	1	高级联赛分榜	%d分	1	1
3	2	2	高级联赛分榜	%d分	1	1
3	2	3	高级联赛分榜	%d分	1	1
3	2	4	高级联赛分榜	%d分	1	1
3	2	5	高级联赛分榜	%d分	1	1
3	2	6	高级联赛分榜	%d分	1	1
3	2	7	高级联赛分榜	%d分	1	1
3	2	8	高级联赛分榜	%d分	1	1
3	2	9	高级联赛分榜	%d分	1	1
3	2	10	高级联赛分榜	%d分	1	1
3	2	11	高级联赛分榜	%d分	1	1
3	2	12	高级联赛分榜	%d分	1	1
3	2	13	高级联赛分榜	%d分	1	1
3	3	0	联赛荣誉	%d荣誉值	1	1
3	3	1	少林荣誉榜	%d荣誉值	0	1
3	3	2	天王荣誉榜	%d荣誉值	0	1
3	3	3	唐门荣誉榜	%d荣誉值	0	1
3	3	4	五毒荣誉榜	%d荣誉值	0	1
3	3	5	峨嵋荣誉榜	%d荣誉值	0	1
3	3	6	翠烟荣誉榜	%d荣誉值	0	1
3	3	7	丐帮荣誉榜	%d荣誉值	0	1
3	3	8	天忍荣誉榜	%d荣誉值	0	1
3	3	9	武当荣誉榜	%d荣誉值	0	1
3	3	10	昆仑荣誉榜	%d荣誉值	0	1
3	3	11	明教荣誉榜	%d荣誉值	0	1
3	3	12	段氏荣誉榜	%d荣誉值	0	1
3	3	13	古墓荣誉榜	%d荣誉值	0	1
3	4	0	上届初级		0	1
3	4	1	上届初级分榜	%d分	0	1
3	4	2	上届初级分榜	%d分	0	1
3	4	3	上届初级分榜	%d分	0	1
3	4	4	上届初级分榜	%d分	0	1
3	4	5	上届初级分榜	%d分	0	1
3	4	6	上届初级分榜	%d分	0	1
3	4	7	上届初级分榜	%d分	0	1
