MapId	TemplateId	PosX	PosY	bName
1	9831	43392	98560	
1	9831	45408	96992	
1	9831	45216	98816	
1	9831	44288	98656	
1	9831	44480	101312	
1	9831	46048	98144	
1	9831	46112	99968	
1	9831	46336	101408	
1	9831	48096	102752	
1	9831	49408	100960	
1	9831	50912	100160	
1	9831	49344	104416	
2	9831	54752	116160	
2	9831	53760	108672	
2	9831	54080	117088	
2	9831	56576	111456	
2	9831	56704	113920	
2	9831	58144	110368	
2	9831	58208	115936	
2	9831	58784	114144	
2	9831	59424	111648	
2	9831	60064	116320	
2	9831	55936	113440	
2	9831	56224	116320	
2	9831	56992	115168	
2	9831	57792	113696	
3	9831	50144	101184	
3	9831	48160	104128	
3	9831	49312	102240	
3	9831	49536	103712	
3	9831	51392	101792	
3	9831	51968	104992	
3	9831	53600	102656	
3	9831	53984	106976	
3	9831	54592	104288	
3	9831	50368	104064	
3	9831	51040	102848	
3	9831	51840	101024	
3	9831	54464	101344	
4	9831	49696	106272	
4	9831	49216	102176	
4	9831	49568	104416	
4	9831	50368	98432	
4	9831	50496	101888	
4	9831	50720	105856	
4	9831	51072	107232	
4	9831	51456	103968	
4	9831	51776	99392	
4	9831	51936	106432	
4	9831	52224	101248	
4	9831	55392	102368	
4	9831	50720	104096	
4	9831	51488	102976	
4	9831	51776	105056	
4	9831	52224	103744	
4	9831	52800	102432	
5	9831	50272	99456	
5	9831	51456	98688	
5	9831	51264	101056	
5	9831	48448	97216	
5	9831	49792	100640	
5	9831	50528	100352	
5	9831	50848	97312	
5	9831	52096	99680	
5	9831	52672	100896	
5	9831	54112	98944	
5	9831	51904	95552	
5	9831	52096	100192	
6	9831	47040	101344	
6	9831	49536	100032	
6	9831	45376	99456	
6	9831	47072	105152	
6	9831	47168	98624	
6	9831	47552	103456	
6	9831	48000	98016	
6	9831	48416	97728	
6	9831	48640	100416	
6	9831	49632	97280	
6	9831	49408	104480	
6	9831	49792	102720	
6	9831	50464	104160	
6	9831	51200	101536	
6	9831	52512	97824	
6	9831	52768	100800	
6	9831	54592	96096	
6	9831	49792	98816	
6	9831	50848	98432	
6	9831	51872	99200	
7	9831	48224	104192	
7	9831	49248	102944	
7	9831	45504	109248	
7	9831	47232	105664	
7	9831	47712	101088	
7	9831	48416	107968	
7	9831	48928	105984	
7	9831	49344	101056	
7	9831	49184	107296	
7	9831	49696	108832	
7	9831	50656	105504	
7	9831	49184	105120	
7	9831	50080	103776	
7	9831	50816	107712	
8	9831	54208	106816	
8	9831	54400	104864	
8	9831	51488	107616	
8	9831	52704	103968	
8	9831	52320	105216	
8	9831	52576	108384	
8	9831	53408	106368	
8	9831	53632	108736	
8	9831	53664	109792	
8	9831	54400	110848	
8	9831	55680	105952	
8	9831	55552	109344	
8	9831	55296	110720	
8	9831	56224	110048	
8	9831	56928	108480	
8	9831	58208	108864	
8	9831	54272	108416	
8	9831	55072	108576	
8	9831	55296	107328	
23	9831	46784	100544	
23	9831	48608	95808	
23	9831	49568	99072	
23	9831	49600	103136	
23	9831	50144	95232	
23	9831	50624	98176	
23	9831	47168	102080	
23	9831	47840	97632	
23	9831	48096	99584	
23	9831	48064	102176	
23	9831	48800	98912	
23	9831	49472	101024	
23	9831	50240	101440	
23	9831	50240	104384	
23	9831	51328	103456	
23	9831	51904	100672	
23	9831	50336	99904	
23	9831	51168	99104	
23	9831	51424	100224	
23	9831	51904	97184	
23	9831	52608	101920	
23	9831	52800	98464	
24	9831	54560	113056	
24	9831	55072	114848	
24	9831	56032	108896	
24	9831	50176	110944	
24	9831	50816	112416	
24	9831	52480	109088	
24	9831	53280	107936	
24	9831	53472	110496	
24	9831	54176	106048	
24	9831	54592	110240	
24	9831	55040	107904	
24	9831	55072	113440	
24	9831	55072	116224	
24	9831	55872	111232	
24	9831	56064	117824	
24	9831	57216	106144	
24	9831	57088	109856	
24	9831	57184	115296	
24	9831	57472	108480	
24	9831	57472	117888	
24	9831	58752	106784	
24	9831	59232	108480	
24	9831	59584	114272	
