NPCID	Mapid	posx	posy
11270	1	1406	3029
11270	1	1395	3017
11270	1	1424	3044
11270	25	1595	3152
11270	25	1545	3097
11270	25	1573	3129
11270	25	1655	3205
11270	25	1676	3231
11270	25	1701	3254
11270	28	1449	3307
11270	28	1563	3269
11270	28	1585	3292
11270	28	1586	3246
11270	28	1627	3201
11270	28	1693	3280
11270	28	1471	3282
11270	23	1465	3080
11270	23	1553	3093
11270	23	1595	3106
11270	23	1627	3146
11270	23	1486	3096
11270	23	1469	3090
11270	27	1671	3270
11270	27	1648	3248
11270	24	1745	3478
11270	24	1903	3478
11270	24	1938	3517
11270	24	1712	3444
11270	24	1683	3415
11270	24	1913	3405
11270	24	1733	3375
11270	29	1616	3911
11270	29	1579	3873
11270	29	1658	3962
11270	29	1674	3884
11270	29	1676	3982
11270	29	1708	4014
11270	29	1548	3843
11271	1	1425	3136
11271	1	1437	3149
11271	3	1573	3160
11271	23	1501	3111
11271	28	1531	3301
11271	28	1705	3323
11271	28	1697	3331
11271	24	1799	3614
11271	24	1685	3493
11271	24	1674	3482
11271	24	1768	3417
11271	29	1530	3827
11271	29	1501	3797
11271	29	1595	3931
11268	1	1392	3059
11268	1	1443	3092
11268	3	1703	3277
11268	3	1683	3297
11268	25	1678	3125
11268	25	1711	3091
11268	25	1579	3178
11268	25	1544	3213
11268	28	1467	3298
11268	28	1456	3345
11268	28	1439	3361
11268	28	1485	3403
11268	28	1498	3387
11268	28	1509	3360
11268	28	1548	3270
11268	27	1614	3240
11268	23	1494	3182
11268	23	1570	3121
11268	24	1748	3555
11268	24	1823	3480
11268	24	1849	3453
11268	24	1887	3416
11268	24	1913	3390
11268	24	1901	3401
11268	24	1929	3375
11268	24	1700	3374
11268	24	1683	3391
11268	24	1788	3387
11268	29	1669	3923
11268	29	1559	3883
11268	29	1534	3909
11268	29	1599	3997
11268	29	1720	3867
11268	29	1744	3841
11269	3	1691	3220
11269	3	1645	3174
11269	3	1629	3158
11269	3	1671	3200
11269	23	1504	3193
11269	23	1521	3176
11269	23	1582	3070
11269	23	1598	3057
11269	27	1605	3232
11269	27	1622	3250
11269	27	1627	3177
11269	27	1645	3158
11269	28	1540	3326
11269	24	1912	3449
11269	24	1919	3458
11269	29	1696	3893
11269	29	1568	4032
11269	29	1582	4015
11272	25	1620	3119
11272	25	1623	3116
11272	25	1607	3140
11272	25	1491	3080
11272	25	1488	3083
11272	25	1485	3086
11272	25	1482	3089
11272	29	1580	3917
11272	29	1583	3914
11272	29	1577	3920
11272	29	1617	3908
11272	29	1614	3910
11272	29	1658	3962
11272	29	1660	3959
11272	29	1654	3966
11272	25	1652	3207
11272	25	1654	3204
11272	25	1656	3202
11272	24	1783	3533
11272	24	1786	3530
11272	24	1786	3529
11273	25	1649	3113
11273	25	1658	3127
11273	25	1654	3123
11273	25	1570	3115
11273	29	1647	3901
11273	29	1656	3914
11273	29	1654	3912
11273	29	1668	3921
11273	29	1670	3923
11273	29	1616	3974
11273	24	1776	3529
11273	24	1778	3531
11273	24	1780	3533
9831	8	1725	3376
9831	4	1612	3253
9831	5	1607	3134
9831	7	1524	3247
9831	6	1572	3114
9831	2	1787	3575
9831	3	1645	3195
9831	1	1358	3087
11276	8	1717	3392
11276	4	1603	3263
11276	5	1599	3144
11276	7	1515	3258
11276	6	1563	3125
11276	2	1778	3589
11276	3	1636	3206
11276	1	1349	3102
11277	8	1734	3392
11277	4	1621	3263
11277	5	1617	3146
11277	7	1533	3258
11277	6	1581	3125
11277	2	1795	3589
11277	3	1654	3206
11277	1	1368	3102
11274	8	1714	3372
11274	4	1601	3247
11274	5	1597	3129
11274	7	1514	3242
11274	6	1562	3110
11274	2	1777	3570
11274	3	1634	3190
11274	1	1349	3084
11275	8	1736	3372
11275	4	1625	3247
11275	5	1619	3129
11275	7	1537	3242
11275	8	1582	3110
11275	2	1799	3570
11275	3	1657	3190
11275	1	1370	3083
11279	8	1727	3378
11279	4	1612	3254
11279	5	1609	3137
11279	7	1524	3250
11279	6	1572	3117
11279	2	1787	3576
11279	3	1644	3197
11279	1	1359	3089
11280	8	1725	3379
11280	4	1615	3255
11280	5	1607	3138
11280	7	1526	3249
11280	6	1571	3116
11280	2	1789	3575
11280	3	1646	3196
11280	1	1361	3088
11281	8	1723	3379
11281	4	1610	3254
11281	5	1605	3139
11281	7	1522	3251
11281	6	1570	3117
11281	2	1785	3576
11281	3	1642	3196
11281	1	1357	3089
11276	24	1768	3550
11276	25	1644	3135
11276	25	1652	3144
11276	25	1664	3138
11276	25	1674	3150
11276	25	1626	3961
11277	24	1794	3548
11277	25	1617	3152
11277	25	1610	3160
11277	25	1628	3136
11277	25	1635	3127
11277	29	1650	3960
11274	24	1764	3520
11274	29	1622	3942
11276	29	1626	3959
11275	24	1801	3520
11275	29	1656	3942
9831	25	1640	3945
9831	25	1618	3130
9831	29	1604	3960
9831	29	1666	3946
9831	24	1807	3530
9831	24	1779	3556
9831	24	1751	3515
9831	24	1932	3428
9831	29	1604	4141
9831	25	1459	3078
9831	23	1446	3082
11279	29	1640	3945
11279	29	1634	3942
11279	24	1781	3534
11279	24	1787	3528
11279	24	1776	3530
11279	24	1775	3529
11279	25	1637	3167
11279	24	1932	3430
11279	29	1604	4143
11279	25	1459	3080
11280	29	1638	3946
11280	29	1642	3943
11280	24	1783	3533
11280	24	1778	3532
11280	25	1626	3157
11280	24	1934	3429
11280	29	1605	4142
11280	25	1461	3079
11280	23	1456	3071
11281	29	1636	3945
11281	24	1785	3531
11281	24	1779	3533
11281	25	1628	3157
11281	24	1930	3429
11281	29	1602	4142
11281	25	1457	3079
11281	23	1458	3070
11290	29	1628	3937
11290	25	1627	3161
11290	24	1781	3536
11270	26	1586	3163
11270	26	1648	3156
11270	26	1605	3310
11270	26	1524	3324
11271	26	1568	3185
11271	26	1625	3129
11271	26	1516	3260
11271	26	1597	3099
11268	26	1671	3284
11268	26	1645	3310
11269	26	1612	3164
11269	26	1524	3147
11269	26	1564	3107
11272	26	1548	3272
11273	26	1616	3173
