TemplateId	MapName
226	白虎堂一层_东(初级一)
227	白虎堂一层_南(初级一)
228	白虎堂一层_西(初级一)
229	白虎堂一层_北(初级一)
230	白虎堂二层_阴(初级一)
231	白虎堂二层_阳(初级一)
232	白虎堂三层(初级一)
234	白虎堂一层_东(高级)
235	白虎堂一层_南(高级)
236	白虎堂一层_西(高级)
237	白虎堂一层_北(高级)
238	白虎堂二层_阴(高级)
239	白虎堂二层_阳(高级)
240	白虎堂三层(高级)
275	白虎堂一层_东(初级二)
276	白虎堂一层_南(初级二)
277	白虎堂一层_西(初级二)
278	白虎堂一层_北(初级二)
279	白虎堂二层_阴(初级二)
280	白虎堂二层_阳(初级二)
281	白虎堂三层(初级二)
298	逍遥谷
299	逍遥谷
300	逍遥谷
301	逍遥谷
302	逍遥谷
303	逍遥谷
304	逍遥谷
305	逍遥谷
306	逍遥谷
307	逍遥谷
308	逍遥谷
309	逍遥谷
310	逍遥谷
311	逍遥谷
312	逍遥谷
313	逍遥谷
314	逍遥谷
315	逍遥谷
316	逍遥谷
317	逍遥谷
318	逍遥谷
319	逍遥谷
320	逍遥谷
321	逍遥谷
322	逍遥谷
323	逍遥谷
324	逍遥谷
325	逍遥谷
326	逍遥谷
327	逍遥谷
328	逍遥谷
329	逍遥谷
330	逍遥谷
331	逍遥谷
332	逍遥谷
334	白虎堂一层_东(初级三)
335	白虎堂一层_南(初级三)
336	白虎堂一层_西(初级三)
337	白虎堂一层_北(初级三)
338	白虎堂二层_阴(初级三)
339	白虎堂二层_阳(初级三)
340	白虎堂三层(初级三)
822	白虎堂一层_东(黄金)
823	白虎堂一层_南(黄金)
824	白虎堂一层_西(黄金)
825	白虎堂一层_北(黄金)
826	白虎堂二层_阴(黄金)
827	白虎堂二层_阳(黄金)
828	白虎堂三层(黄金)
1536	秦始皇陵一层
1537	秦始皇陵二层
1538	秦始皇陵三层
1539	秦始皇陵四层
1540	秦始皇陵五层
1542	逍遥谷
1543	逍遥谷
1544	逍遥谷
1545	逍遥谷
1546	逍遥谷
1547	逍遥谷
1548	逍遥谷
