Rate	No	BrightBadge	GrayBadge	QueueBadge	OtherBadge
1	1	\image\ui\002a\brightbadge\EM01_1.spr	\image\ui\002a\graybadge\EM01_1.spr	\image\ui\002a\queuebadge\EM01_1.spr	\image\ui\002a\otherbadge\EM01_1.spr
1	2	\image\ui\002a\brightbadge\EM02_1.spr	\image\ui\002a\graybadge\EM02_1.spr	\image\ui\002a\queuebadge\EM02_1.spr	\image\ui\002a\otherbadge\EM02_1.spr
1	3	\image\ui\002a\brightbadge\EM03_1.spr	\image\ui\002a\graybadge\EM03_1.spr	\image\ui\002a\queuebadge\EM03_1.spr	\image\ui\002a\otherbadge\EM03_1.spr
1	4	\image\ui\002a\brightbadge\EM04_1.spr	\image\ui\002a\graybadge\EM04_1.spr	\image\ui\002a\queuebadge\EM04_1.spr	\image\ui\002a\otherbadge\EM04_1.spr
1	5	\image\ui\002a\brightbadge\EM05_1.spr	\image\ui\002a\graybadge\EM05_1.spr	\image\ui\002a\queuebadge\EM05_1.spr	\image\ui\002a\otherbadge\EM05_1.spr
1	6	\image\ui\002a\brightbadge\EM06_1.spr	\image\ui\002a\graybadge\EM06_1.spr	\image\ui\002a\queuebadge\EM06_1.spr	\image\ui\002a\otherbadge\EM06_1.spr
1	7	\image\ui\002a\brightbadge\EM07_1.spr	\image\ui\002a\graybadge\EM07_1.spr	\image\ui\002a\queuebadge\EM07_1.spr	\image\ui\002a\otherbadge\EM07_1.spr
1	8	\image\ui\002a\brightbadge\EM08_1.spr	\image\ui\002a\graybadge\EM08_1.spr	\image\ui\002a\queuebadge\EM08_1.spr	\image\ui\002a\otherbadge\EM08_1.spr
1	9	\image\ui\002a\brightbadge\EM09_1.spr	\image\ui\002a\graybadge\EM09_1.spr	\image\ui\002a\queuebadge\EM09_1.spr	\image\ui\002a\otherbadge\EM09_1.spr
1	10	\image\ui\002a\brightbadge\EM10_1.spr	\image\ui\002a\graybadge\EM10_1.spr	\image\ui\002a\queuebadge\EM10_1.spr	\image\ui\002a\otherbadge\EM10_1.spr
1	11	\image\ui\002a\brightbadge\EM11_1.spr	\image\ui\002a\graybadge\EM11_1.spr	\image\ui\002a\queuebadge\EM11_1.spr	\image\ui\002a\otherbadge\EM11_1.spr
1	12	\image\ui\002a\brightbadge\EM12_1.spr	\image\ui\002a\graybadge\EM12_1.spr	\image\ui\002a\queuebadge\EM12_1.spr	\image\ui\002a\otherbadge\EM12_1.spr
1	13	\image\ui\002a\brightbadge\EM13_1.spr	\image\ui\002a\graybadge\EM13_1.spr	\image\ui\002a\queuebadge\EM13_1.spr	\image\ui\002a\otherbadge\EM13_1.spr
1	14	\image\ui\002a\brightbadge\EM14_1.spr	\image\ui\002a\graybadge\EM14_1.spr	\image\ui\002a\queuebadge\EM14_1.spr	\image\ui\002a\otherbadge\EM14_1.spr
1	15	\image\ui\002a\brightbadge\EM15_1.spr	\image\ui\002a\graybadge\EM15_1.spr	\image\ui\002a\queuebadge\EM15_1.spr	\image\ui\002a\otherbadge\EM15_1.spr
1	16	\image\ui\002a\brightbadge\EM16_1.spr	\image\ui\002a\graybadge\EM16_1.spr	\image\ui\002a\queuebadge\EM16_1.spr	\image\ui\002a\otherbadge\EM16_1.spr
1	17	\image\ui\002a\brightbadge\EM17_1.spr	\image\ui\002a\graybadge\EM17_1.spr	\image\ui\002a\queuebadge\EM17_1.spr	\image\ui\002a\otherbadge\EM17_1.spr
1	18	\image\ui\002a\brightbadge\EM18_1.spr	\image\ui\002a\graybadge\EM18_1.spr	\image\ui\002a\queuebadge\EM18_1.spr	\image\ui\002a\otherbadge\EM18_1.spr
1	19	\image\ui\002a\brightbadge\EM19_1.spr	\image\ui\002a\graybadge\EM19_1.spr	\image\ui\002a\queuebadge\EM19_1.spr	\image\ui\002a\otherbadge\EM19_1.spr
1	20	\image\ui\002a\brightbadge\EM20_1.spr	\image\ui\002a\graybadge\EM20_1.spr	\image\ui\002a\queuebadge\EM20_1.spr	\image\ui\002a\otherbadge\EM20_1.spr
1	21	\image\ui\002a\brightbadge\EM21_1.spr	\image\ui\002a\graybadge\EM21_1.spr	\image\ui\002a\queuebadge\EM21_1.spr	\image\ui\002a\otherbadge\EM21_1.spr
1	22	\image\ui\002a\brightbadge\EM22_1.spr	\image\ui\002a\graybadge\EM22_1.spr	\image\ui\002a\queuebadge\EM22_1.spr	\image\ui\002a\otherbadge\EM22_1.spr
1	23	\image\ui\002a\brightbadge\EM23_1.spr	\image\ui\002a\graybadge\EM23_1.spr	\image\ui\002a\queuebadge\EM23_1.spr	\image\ui\002a\otherbadge\EM23_1.spr
1	24	\image\ui\002a\brightbadge\EM24_1.spr	\image\ui\002a\graybadge\EM24_1.spr	\image\ui\002a\queuebadge\EM24_1.spr	\image\ui\002a\otherbadge\EM24_1.spr
1	25	\image\ui\002a\brightbadge\EM25_1.spr	\image\ui\002a\graybadge\EM25_1.spr	\image\ui\002a\queuebadge\EM25_1.spr	\image\ui\002a\otherbadge\EM25_1.spr
1	26	\image\ui\002a\brightbadge\EM26_1.spr	\image\ui\002a\graybadge\EM26_1.spr	\image\ui\002a\queuebadge\EM26_1.spr	\image\ui\002a\otherbadge\EM26_1.spr
1	27	\image\ui\002a\brightbadge\EM27_1.spr	\image\ui\002a\graybadge\EM27_1.spr	\image\ui\002a\queuebadge\EM27_1.spr	\image\ui\002a\otherbadge\EM27_1.spr
1	28	\image\ui\002a\brightbadge\EM28_1.spr	\image\ui\002a\graybadge\EM28_1.spr	\image\ui\002a\queuebadge\EM28_1.spr	\image\ui\002a\otherbadge\EM28_1.spr
1	29	\image\ui\002a\brightbadge\EM29_1.spr	\image\ui\002a\graybadge\EM29_1.spr	\image\ui\002a\queuebadge\EM29_1.spr	\image\ui\002a\otherbadge\EM29_1.spr
1	30	\image\ui\002a\brightbadge\EM30_1.spr	\image\ui\002a\graybadge\EM30_1.spr	\image\ui\002a\queuebadge\EM30_1.spr	\image\ui\002a\otherbadge\EM30_1.spr
2	1	\image\ui\002a\brightbadge\EM01_2.spr	\image\ui\002a\graybadge\EM01_2.spr	\image\ui\002a\queuebadge\EM01_2.spr	\image\ui\002a\otherbadge\EM01_2.spr
2	2	\image\ui\002a\brightbadge\EM02_2.spr	\image\ui\002a\graybadge\EM02_2.spr	\image\ui\002a\queuebadge\EM02_2.spr	\image\ui\002a\otherbadge\EM02_2.spr
2	3	\image\ui\002a\brightbadge\EM03_2.spr	\image\ui\002a\graybadge\EM03_2.spr	\image\ui\002a\queuebadge\EM03_2.spr	\image\ui\002a\otherbadge\EM03_2.spr
2	4	\image\ui\002a\brightbadge\EM04_2.spr	\image\ui\002a\graybadge\EM04_2.spr	\image\ui\002a\queuebadge\EM04_2.spr	\image\ui\002a\otherbadge\EM04_2.spr
2	5	\image\ui\002a\brightbadge\EM05_2.spr	\image\ui\002a\graybadge\EM05_2.spr	\image\ui\002a\queuebadge\EM05_2.spr	\image\ui\002a\otherbadge\EM05_2.spr
2	6	\image\ui\002a\brightbadge\EM06_2.spr	\image\ui\002a\graybadge\EM06_2.spr	\image\ui\002a\queuebadge\EM06_2.spr	\image\ui\002a\otherbadge\EM06_2.spr
2	7	\image\ui\002a\brightbadge\EM07_2.spr	\image\ui\002a\graybadge\EM07_2.spr	\image\ui\002a\queuebadge\EM07_2.spr	\image\ui\002a\otherbadge\EM07_2.spr
2	8	\image\ui\002a\brightbadge\EM08_2.spr	\image\ui\002a\graybadge\EM08_2.spr	\image\ui\002a\queuebadge\EM08_2.spr	\image\ui\002a\otherbadge\EM08_2.spr
2	9	\image\ui\002a\brightbadge\EM09_2.spr	\image\ui\002a\graybadge\EM09_2.spr	\image\ui\002a\queuebadge\EM09_2.spr	\image\ui\002a\otherbadge\EM09_2.spr
2	10	\image\ui\002a\brightbadge\EM10_2.spr	\image\ui\002a\graybadge\EM10_2.spr	\image\ui\002a\queuebadge\EM10_2.spr	\image\ui\002a\otherbadge\EM10_2.spr
2	11	\image\ui\002a\brightbadge\EM11_2.spr	\image\ui\002a\graybadge\EM11_2.spr	\image\ui\002a\queuebadge\EM11_2.spr	\image\ui\002a\otherbadge\EM11_2.spr
2	12	\image\ui\002a\brightbadge\EM12_2.spr	\image\ui\002a\graybadge\EM12_2.spr	\image\ui\002a\queuebadge\EM12_2.spr	\image\ui\002a\otherbadge\EM12_2.spr
2	13	\image\ui\002a\brightbadge\EM13_2.spr	\image\ui\002a\graybadge\EM13_2.spr	\image\ui\002a\queuebadge\EM13_2.spr	\image\ui\002a\otherbadge\EM13_2.spr
2	14	\image\ui\002a\brightbadge\EM14_2.spr	\image\ui\002a\graybadge\EM14_2.spr	\image\ui\002a\queuebadge\EM14_2.spr	\image\ui\002a\otherbadge\EM14_2.spr
2	15	\image\ui\002a\brightbadge\EM15_2.spr	\image\ui\002a\graybadge\EM15_2.spr	\image\ui\002a\queuebadge\EM15_2.spr	\image\ui\002a\otherbadge\EM15_2.spr
2	16	\image\ui\002a\brightbadge\EM16_2.spr	\image\ui\002a\graybadge\EM16_2.spr	\image\ui\002a\queuebadge\EM16_2.spr	\image\ui\002a\otherbadge\EM16_2.spr
2	17	\image\ui\002a\brightbadge\EM17_2.spr	\image\ui\002a\graybadge\EM17_2.spr	\image\ui\002a\queuebadge\EM17_2.spr	\image\ui\002a\otherbadge\EM17_2.spr
2	18	\image\ui\002a\brightbadge\EM18_2.spr	\image\ui\002a\graybadge\EM18_2.spr	\image\ui\002a\queuebadge\EM18_2.spr	\image\ui\002a\otherbadge\EM18_2.spr
2	19	\image\ui\002a\brightbadge\EM19_2.spr	\image\ui\002a\graybadge\EM19_2.spr	\image\ui\002a\queuebadge\EM19_2.spr	\image\ui\002a\otherbadge\EM19_2.spr
2	20	\image\ui\002a\brightbadge\EM20_2.spr	\image\ui\002a\graybadge\EM20_2.spr	\image\ui\002a\queuebadge\EM20_2.spr	\image\ui\002a\otherbadge\EM20_2.spr
