Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	7	60368		7级玄晶（不绑定）
		18	1	1	8	8624		8级玄晶（不绑定）
		18	1	1	9	1232		9级玄晶（不绑定）
		18	1	1	10	176		10级玄晶（不绑定）
		22	1	113	1	57703 		龙魂鉴碎片·戒指（1级）
		22	1	112	1	100981 		龙魂鉴碎片·衣服（1级）
		22	1	114	1	129832 		龙魂鉴碎片·护身符（1级）
		22	1	113	2	35509 		龙魂鉴碎片·戒指（2级）
		22	1	112	2	62142 		龙魂鉴碎片·衣服（2级）
		22	1	114	2	79897 		龙魂鉴碎片·护身符（2级）
		22	1	113	3	26632 		龙魂鉴碎片·戒指（3级）
		22	1	112	3	46606 		龙魂鉴碎片·衣服（3级）
		22	1	114	3	59922 		龙魂鉴碎片·护身符（3级）
		18	1	1675	1	120000		赤夜飞翎（赤夜天翔坐骑碎片）
