Name	Id	Genre	DetailType	ParticularType	Level	Series	Bind	ReputeCamp	ReputeClass	ReputeLevel	OfficialLevel	TradeLog	honor	timeout	tongfund	tongenergy	fightpowerrank	goodsindex	goodsprice	valuecoinindex	valuecoinprice	nTimeFrameStartDay	timeSaleStart	timeSaleClose	BuyPlayerLevel
缠手	1	1	1	1	1	1																			
缠手	2	1	1	1	2	1																			
缠手	3	1	1	1	3	1																			
缠手	4	1	1	1	4	1																			
缠手	5	1	1	1	5	1																			
缠手	6	1	1	1	1	2																			
缠手	7	1	1	1	2	2																			
缠手	8	1	1	1	3	2																			
缠手	9	1	1	1	4	2																			
缠手	10	1	1	1	5	2																			
缠手	11	1	1	1	1	3																			
缠手	12	1	1	1	2	3																			
缠手	13	1	1	1	3	3																			
缠手	14	1	1	1	4	3																			
缠手	15	1	1	1	5	3																			
缠手	16	1	1	1	1	4																			
缠手	17	1	1	1	2	4																			
缠手	18	1	1	1	3	4																			
缠手	19	1	1	1	4	4																			
缠手	20	1	1	1	5	4																			
缠手	21	1	1	1	1	5																			
缠手	22	1	1	1	2	5																			
缠手	23	1	1	1	3	5																			
缠手	24	1	1	1	4	5																			
缠手	25	1	1	1	5	5																			
剑	26	1	1	2	1	1																			
剑	27	1	1	2	2	1																			
剑	28	1	1	2	3	1																			
剑	29	1	1	2	4	1																			
剑	30	1	1	2	5	1																			
剑	31	1	1	2	1	2																			
剑	32	1	1	2	2	2																			
剑	33	1	1	2	3	2																			
剑	34	1	1	2	4	2																			
剑	35	1	1	2	5	2																			
剑	36	1	1	2	1	3																			
剑	37	1	1	2	2	3																			
剑	38	1	1	2	3	3																			
剑	39	1	1	2	4	3																			
剑	40	1	1	2	5	3																			
剑	41	1	1	2	1	4																			
剑	42	1	1	2	2	4																			
剑	43	1	1	2	3	4																			
剑	44	1	1	2	4	4																			
剑	45	1	1	2	5	4																			
剑	46	1	1	2	1	5																			
剑	47	1	1	2	2	5																			
剑	48	1	1	2	3	5																			
剑	49	1	1	2	4	5																			
剑	50	1	1	2	5	5																			
刀	51	1	1	3	1	1																			
刀	52	1	1	3	2	1																			
刀	53	1	1	3	3	1																			
刀	54	1	1	3	4	1																			
刀	55	1	1	3	5	1																			
刀	56	1	1	3	1	2																			
刀	57	1	1	3	2	2																			
刀	58	1	1	3	3	2																			
刀	59	1	1	3	4	2																			
刀	60	1	1	3	5	2																			
刀	61	1	1	3	1	3																			
刀	62	1	1	3	2	3																			
刀	63	1	1	3	3	3																			
刀	64	1	1	3	4	3																			
刀	65	1	1	3	5	3																			
刀	66	1	1	3	1	4																			
刀	67	1	1	3	2	4																			
刀	68	1	1	3	3	4																			
刀	69	1	1	3	4	4																			
刀	70	1	1	3	5	4																			
刀	71	1	1	3	1	5																			
刀	72	1	1	3	2	5																			
刀	73	1	1	3	3	5																			
刀	74	1	1	3	4	5																			
刀	75	1	1	3	5	5																			
棍	76	1	1	4	1	1																			
棍	77	1	1	4	2	1																			
棍	78	1	1	4	3	1																			
棍	79	1	1	4	4	1																			
棍	80	1	1	4	5	1																			
棍	81	1	1	4	1	2																			
棍	82	1	1	4	2	2																			
棍	83	1	1	4	3	2																			
棍	84	1	1	4	4	2																			
棍	85	1	1	4	5	2																			
棍	86	1	1	4	1	3																			
棍	87	1	1	4	2	3																			
棍	88	1	1	4	3	3																			
棍	89	1	1	4	4	3																			
棍	90	1	1	4	5	3																			
棍	91	1	1	4	1	4																			
棍	92	1	1	4	2	4																			
棍	93	1	1	4	3	4																			
棍	94	1	1	4	4	4																			
棍	95	1	1	4	5	4																			
棍	96	1	1	4	1	5																			
棍	97	1	1	4	2	5																			
棍	98	1	1	4	3	5																			
棍	99	1	1	4	4	5																			
棍	100	1	1	4	5	5																			
枪	101	1	1	5	1	1																			
枪	102	1	1	5	2	1																			
枪	103	1	1	5	3	1																			
枪	104	1	1	5	4	1																			
枪	105	1	1	5	5	1																			
枪	106	1	1	5	1	2																			
枪	107	1	1	5	2	2																			
枪	108	1	1	5	3	2																			
枪	109	1	1	5	4	2																			
枪	110	1	1	5	5	2																			
枪	111	1	1	5	1	3																			
枪	112	1	1	5	2	3																			
枪	113	1	1	5	3	3																			
枪	114	1	1	5	4	3																			
枪	115	1	1	5	5	3																			
枪	116	1	1	5	1	4																			
枪	117	1	1	5	2	4																			
枪	118	1	1	5	3	4																			
枪	119	1	1	5	4	4																			
枪	120	1	1	5	5	4																			
枪	121	1	1	5	1	5																			
枪	122	1	1	5	2	5																			
枪	123	1	1	5	3	5																			
枪	124	1	1	5	4	5																			
枪	125	1	1	5	5	5																			
锤	126	1	1	6	1	1																			
锤	127	1	1	6	2	1																			
锤	128	1	1	6	3	1																			
锤	129	1	1	6	4	1																			
锤	130	1	1	6	5	1																			
锤	131	1	1	6	1	2																			
锤	132	1	1	6	2	2																			
锤	133	1	1	6	3	2																			
锤	134	1	1	6	4	2																			
锤	135	1	1	6	5	2																			
锤	136	1	1	6	1	3																			
锤	137	1	1	6	2	3																			
锤	138	1	1	6	3	3																			
锤	139	1	1	6	4	3																			
锤	140	1	1	6	5	3																			
锤	141	1	1	6	1	4																			
锤	142	1	1	6	2	4																			
锤	143	1	1	6	3	4																			
锤	144	1	1	6	4	4																			
锤	145	1	1	6	5	4																			
锤	146	1	1	6	1	5																			
锤	147	1	1	6	2	5																			
锤	148	1	1	6	3	5																			
锤	149	1	1	6	4	5																			
锤	150	1	1	6	5	5																			
飞刀	176	1	2	2	1	1																			
飞刀	177	1	2	2	2	1																			
飞刀	178	1	2	2	3	1																			
飞刀	179	1	2	2	4	1																			
飞刀	180	1	2	2	5	1																			
飞刀	181	1	2	2	1	2																			
飞刀	182	1	2	2	2	2																			
飞刀	183	1	2	2	3	2																			
飞刀	184	1	2	2	4	2																			
飞刀	185	1	2	2	5	2																			
飞刀	186	1	2	2	1	3																			
飞刀	187	1	2	2	2	3																			
飞刀	188	1	2	2	3	3																			
飞刀	189	1	2	2	4	3																			
飞刀	190	1	2	2	5	3																			
飞刀	191	1	2	2	1	4																			
飞刀	192	1	2	2	2	4																			
飞刀	193	1	2	2	3	4																			
飞刀	194	1	2	2	4	4																			
飞刀	195	1	2	2	5	4																			
飞刀	196	1	2	2	1	5																			
飞刀	197	1	2	2	2	5																			
飞刀	198	1	2	2	3	5																			
飞刀	199	1	2	2	4	5																			
飞刀	200	1	2	2	5	5																			
袖箭	201	1	2	3	1	1																			
袖箭	202	1	2	3	2	1																			
袖箭	203	1	2	3	3	1																			
袖箭	204	1	2	3	4	1																			
袖箭	205	1	2	3	5	1																			
袖箭	206	1	2	3	1	2																			
袖箭	207	1	2	3	2	2																			
袖箭	208	1	2	3	3	2																			
袖箭	209	1	2	3	4	2																			
袖箭	210	1	2	3	5	2																			
袖箭	211	1	2	3	1	3																			
袖箭	212	1	2	3	2	3																			
袖箭	213	1	2	3	3	3																			
袖箭	214	1	2	3	4	3																			
袖箭	215	1	2	3	5	3																			
袖箭	216	1	2	3	1	4																			
袖箭	217	1	2	3	2	4																			
袖箭	218	1	2	3	3	4																			
袖箭	219	1	2	3	4	4																			
袖箭	220	1	2	3	5	4																			
袖箭	221	1	2	3	1	5																			
袖箭	222	1	2	3	2	5																			
袖箭	223	1	2	3	3	5																			
袖箭	224	1	2	3	4	5																			
袖箭	225	1	2	3	5	5																			
衣服	226	1	3	2	1	1																			
衣服	227	1	3	2	2	1																			
衣服	228	1	3	2	3	1																			
衣服	229	1	3	2	4	1																			
衣服	230	1	3	2	5	1																			
衣服	231	1	3	2	1	2																			
衣服	232	1	3	2	2	2																			
衣服	233	1	3	2	3	2																			
衣服	234	1	3	2	4	2																			
衣服	235	1	3	2	5	2																			
衣服	236	1	3	2	1	3																			
衣服	237	1	3	2	2	3																			
衣服	238	1	3	2	3	3																			
衣服	239	1	3	2	4	3																			
衣服	240	1	3	2	5	3																			
衣服	241	1	3	2	1	4																			
衣服	242	1	3	2	2	4																			
衣服	243	1	3	2	3	4																			
衣服	244	1	3	2	4	4																			
衣服	245	1	3	2	5	4																			
衣服	246	1	3	2	1	5																			
衣服	247	1	3	2	2	5																			
衣服	248	1	3	2	3	5																			
衣服	249	1	3	2	4	5																			
衣服	250	1	3	2	5	5																			
衣服	251	1	3	3	1	1																			
衣服	252	1	3	3	2	1																			
衣服	253	1	3	3	3	1																			
衣服	254	1	3	3	4	1																			
衣服	255	1	3	3	5	1																			
衣服	256	1	3	3	1	2																			
衣服	257	1	3	3	2	2																			
衣服	258	1	3	3	3	2																			
衣服	259	1	3	3	4	2																			
衣服	260	1	3	3	5	2																			
