标题	内容	是否不显示	EndTag
【家族趣味竞技】	"<color=lightblue>【家族趣味竞技】<color>

    各位大侠们还是小虾的时候，是不是觉得闯荡江湖，无非恩怨情仇，虽然偶尔有惊险挑战，但是大多数时候依旧彷徨无趣。为此，金山大侠特地组织了趣味竞技活动，让大家的练级道路更加轻松愉快。


<color=yellow>什么是家族趣味竞技<color>

    为了满足服务器开放前期活动内容少而且获取物资艰难的局面，特意准备了趣味竞技活动，让小侠们参与体验轻松愉快的竞技活动的同时能得到大把的经验以及其他惊喜奖励。同时，参加趣味竞技还可以累积家族趣味竞技声望，可以购买<color=yellow>稀有鞋子<color>哦~！
<color=yellow>注意<color>：开服29天后，即服务器开放89级等级上限之后，家族竞技的奖励会更加丰富哟！


<color=yellow>家族趣味竞技的时间<color>

    新服务器开服时就能开启家族趣味竞技活动。
    活动开启时间为每周一、周三、周五和周日的11点--14点和17点--23点，每30分钟开启一场，报名时间5分钟。
    每一周竞技比赛内容都会改变。


<color=yellow>家族趣味竞技比赛<color>

    等级达到30级并且加入家族的玩家可以在活动报名时间到<color=yellow>各新手村晏若雪<color>处报名参加。
    开启家族趣味竞技时，每位玩家将自动获得2次参加机会，次数能够累积，但是次数累积不会超过8次。
    每位玩家每个月最多参加24次家族趣味竞技，请把握好机会哦~
"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【跨服白虎堂】背景	"<color=lightblue>【跨服白虎堂】背景<color>

    白虎堂三层：

    ……勇士们合力使出最强一击，终于将护图使歼灭，但由于威力巨大，台子中间一块巨石竟被震得粉碎，一条密道出现在众人面前，正当众人纳闷之时，几道人影竟乘机闪入密道中，这时候白虎堂堂主闻讯赶到……

    白虎堂三层台子下怎么会有密室？巨石后究竟隐藏着什么秘密？当年晁错究竟死于何地，被谁所杀？那本万恶的名录下落如何？闪入的人影又是谁？<color=gold>真相即将揭晓……<color>
"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【跨服白虎堂】时间流程	"<color=lightblue>【跨服白虎堂】时间流程<color>

    <color=yellow>★各区开放情况请留意官网★<color>
 
    参加每天<color=yellow>14:00--18:00、23:00--次日02:00<color>整点开启的<color=yellow>黄金白虎堂<color>，击杀其三层Boss后，<color=yellow>有可能发现密道<color>，从密道进入密室后，即可与本区其它服务器的玩家一起在密室内厅进行激战。

    <color=green>注意：<color>
    1、该整点的<color=yellow>30分<color>后则不能再进入密道。
    2、该整点的<color=yellow>35分<color>后则不能再进入密室内厅；
    3、该整点的<color=yellow>50分<color>时结束。

    <color=yellow>时间示例：<color>
    <table=0>
    <tr=0,0,2,0,Orange><td=0,0,5,1>时段</td><td=0,0,5,1>时间</td><td=0,0,5,1>事项</td></tr>
    <tr=0,0,1,1,hide><td>  13:30-14:00  <td></td><td> 30分钟 </td><td> 报名黄金白虎堂 </td></tr>
    <tr=0,0,1,1,gray><td>  14:00-14:30  </td><td> 30分钟 </td><td>完成黄金白虎堂
   发现密道
 进入密室外厅</td></tr>
    <tr=0,0,1,2,hide><td>  14:30-14:35  </td><td>  5分钟 </td><td>进入密室内厅</td></tr>
    <tr=0,0,1,2,gray><td>  14:30-14:50  </td><td> 20分钟 </td><td>激战</td></tr>
    </table> 

"	<%Task.IVER_nHelpIsView_GbWlls%>	EndTag
【跨服白虎堂】进入条件	"<color=lightblue>【跨服白虎堂】进入条件<color>

