TaskId	TaskName	TaskType	Value1	Value2	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
任务编号	任务名	任务类型	价值量1	价值量2	大类	分类	细类	等级	五行	数量	物品名	后缀名	等级1	等级2	等级3	等级4	等级5	等级6	等级7	等级8	等级9	等级10	等级11
10001	收集2个1级磨刀石	SearchItemWithDesc	20	750	18	1	66	1	0	2	1级磨刀石	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
10002	收集2个2级磨刀石	SearchItemWithDesc	60	750	18	1	66	2	0	2	2级磨刀石	0	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
10003	收集2个3级磨刀石	SearchItemWithDesc	200	750	18	1	66	3	0	2	3级磨刀石	0	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
10004	收集2个4级磨刀石	SearchItemWithDesc	560	750	18	1	66	4	0	2	4级磨刀石	0	0	0	1000	2000	2000	2000	2000	2000	2000	2000	2000
10005	收集2个1级护甲片	SearchItemWithDesc	20	750	18	1	67	1	0	2	1级护甲片	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
10006	收集2个2级护甲片	SearchItemWithDesc	60	750	18	1	67	2	0	2	2级护甲片	0	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
10007	收集2个3级护甲片	SearchItemWithDesc	200	750	18	1	67	3	0	2	3级护甲片	0	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
10008	收集2个4级护甲片	SearchItemWithDesc	560	750	18	1	67	4	0	2	4级护甲片	0	0	0	1000	2000	2000	2000	2000	2000	2000	2000	2000
10009	收集2个1级五行石	SearchItemWithDesc	20	750	18	1	68	1	0	2	1级五行石	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
10010	收集2个2级五行石	SearchItemWithDesc	60	750	18	1	68	2	0	2	2级五行石	0	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
10011	收集2个3级五行石	SearchItemWithDesc	200	750	18	1	68	3	0	2	3级五行石	0	0	2000	3000	3000	3000	3000	3000	3000	3000	3000	3000
10012	收集2个4级五行石	SearchItemWithDesc	560	750	18	1	68	4	0	2	4级五行石	0	0	0	1000	2000	2000	2000	2000	2000	2000	2000	2000
