PartnerId	PartnerName	Name	G	D	P	L	ZhenYuanTemp	CalValueRate
241	叶静	【真元】叶静	1	24	1	1	1	50
193	宝玉	【真元】宝玉	1	24	2	1	2	100
182	夏小倩	【真元】夏小倩	1	24	3	1	3	100
194	莺莺	【真元】莺莺	1	24	4	1	4	100
181	木超	【真元】木超	1	24	5	1	5	100
177	紫苑	【真元】紫苑	1	24	6	1	6	100
178	秦仲	【真元】秦仲	1	24	7	1	7	100
246	叶静	【真元】叶静	1	24	1	1	1	100
247	夏小倩	【真元】夏小倩	1	24	3	1	3	50
248	紫苑	【真元】紫苑	1	24	6	1	6	50
249	宝玉	【真元】宝玉	1	24	2	1	2	50
250	叶静	【真元】叶静	1	24	1	1	1	50
251	宝玉	【真元】宝玉	1	24	2	1	2	50
252	紫苑	【真元】紫苑	1	24	6	1	6	50
253	紫苑	【真元】紫苑	1	24	6	1	6	50
256	木超	【真元】木超	1	24	5	1	5	50
