Name	RefineId	Index	ProduceGenre	ProduceDetail	ProduceParti	ProduceLevel	Faction	AttRoute	Sex	EquipGenre	EquipDetail	EquipParti	EquipLevel	Fee
蓝色逍遥套装_金系外功男护腕	1	1	4	10	5	10	-1	-1	-1	2	10	12	10	10000
紫色逍遥套装_金系外功男护腕	1	2	4	10	3	10	-1	-1	-1	2	10	112	10	10000
紫色逍遥套装_金系外功男护腕	1	3	4	10	3	10	-1	-1	-1	2	10	212	10	10000
橙色逍遥套装_金系外功男护腕	1	4	4	10	1	10	-1	-1	-1	2	10	312	10	10000
橙色逍遥套装_金系外功男护腕	1	5	4	10	1	10	-1	-1	-1	2	10	412	10	10000
蓝色逍遥套装_金系外功男护腕	1	6	4	10	5	10	-1	-1	-1	2	10	508	10	10000
紫色逍遥套装_金系外功男护腕	1	7	4	10	3	10	-1	-1	-1	2	10	568	10	10000
橙色逍遥套装_金系外功男护腕	1	8	4	10	1	10	-1	-1	-1	2	10	628	10	10000
蓝色逍遥套装_金系外功女手镯	1	9	4	10	6	10	-1	-1	-1	2	10	22	10	10000
紫色逍遥套装_金系外功女手镯	1	10	4	10	4	10	-1	-1	-1	2	10	122	10	10000
紫色逍遥套装_金系外功女手镯	1	11	4	10	4	10	-1	-1	-1	2	10	222	10	10000
橙色逍遥套装_金系外功女手镯	1	12	4	10	2	10	-1	-1	-1	2	10	322	10	10000
橙色逍遥套装_金系外功女手镯	1	13	4	10	2	10	-1	-1	-1	2	10	422	10	10000
蓝色逍遥套装_金系外功女手镯	1	14	4	10	6	10	-1	-1	-1	2	10	514	10	10000
紫色逍遥套装_金系外功女手镯	1	15	4	10	4	10	-1	-1	-1	2	10	574	10	10000
橙色逍遥套装_金系外功女手镯	1	16	4	10	2	10	-1	-1	-1	2	10	634	10	10000
蓝色逍遥套装_木系外功男护腕	1	17	4	10	15	10	-1	-1	-1	2	10	32	10	10000
紫色逍遥套装_木系外功男护腕	1	18	4	10	11	10	-1	-1	-1	2	10	132	10	10000
紫色逍遥套装_木系外功男护腕	1	19	4	10	11	10	-1	-1	-1	2	10	232	10	10000
橙色逍遥套装_木系外功男护腕	1	20	4	10	7	10	-1	-1	-1	2	10	332	10	10000
橙色逍遥套装_木系外功男护腕	1	21	4	10	7	10	-1	-1	-1	2	10	432	10	10000
蓝色逍遥套装_木系外功男护腕	1	22	4	10	15	10	-1	-1	-1	2	10	520	10	10000
紫色逍遥套装_木系外功男护腕	1	23	4	10	11	10	-1	-1	-1	2	10	580	10	10000
橙色逍遥套装_木系外功男护腕	1	24	4	10	7	10	-1	-1	-1	2	10	640	10	10000
蓝色逍遥套装_木系外功女手镯	1	25	4	10	16	10	-1	-1	-1	2	10	42	10	10000
紫色逍遥套装_木系外功女手镯	1	26	4	10	12	10	-1	-1	-1	2	10	142	10	10000
紫色逍遥套装_木系外功女手镯	1	27	4	10	12	10	-1	-1	-1	2	10	242	10	10000
橙色逍遥套装_木系外功女手镯	1	28	4	10	8	10	-1	-1	-1	2	10	342	10	10000
橙色逍遥套装_木系外功女手镯	1	29	4	10	8	10	-1	-1	-1	2	10	442	10	10000
蓝色逍遥套装_木系外功女手镯	1	30	4	10	16	10	-1	-1	-1	2	10	526	10	10000
紫色逍遥套装_木系外功女手镯	1	31	4	10	12	10	-1	-1	-1	2	10	586	10	10000
