Series	Category	EffectRes	EffectName
1	12	1	单手剑金melee
2	12	2	单手剑木melee
3	12	3	单手剑水melee
4	12	4	单手剑火melee
5	12	5	单手剑土melee
1	13	1	单手刀金melee
2	13	2	单手刀木melee
3	13	3	单手刀水melee
4	13	4	单手刀火melee
5	13	5	单手刀土melee
1	14	11	长棍金range
2	14	12	长棍木range
3	14	13	长棍水range
4	14	14	长棍火range
5	14	15	长棍土range
1	15	11	长枪金range
2	15	12	长枪木range
3	15	13	长枪水range
4	15	14	长枪火range
5	15	15	长枪土range
1	11	6	缠手金free
2	11	7	缠手木free
3	11	8	缠手水free
4	11	9	缠手火free
5	11	10	缠手土free
1	16	16	双锤金double
2	16	17	双锤木double
3	16	18	双锤水double
4	16	19	双锤火double
5	16	20	双锤土double
1	21	6	飞镖金free
2	21	7	飞镖木free
3	21	8	飞镖水free
4	21	9	飞镖火free
5	21	10	飞镖土free
1	22	6	飞刀金free
2	22	7	飞刀木free
3	22	8	飞刀水free
4	22	9	飞刀火free
5	22	10	飞刀土free
1	23	6	袖箭金free
2	23	7	袖箭木free
3	23	8	袖箭水free
4	23	9	袖箭火free
5	23	10	袖箭土free
